Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
Public Tour: Highlights from SAM’s Collection,Now through 3/31/2024,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/public-tour-highlights-from-sams-collection/,47.6077008,-122.3385575,Weather forecast not found for specific date
Public Tour: Journeys Through Time and Space,Now through 3/31/2024,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/public-tour-journeys-through-time-and-space/,47.63029565,-122.31413540328062,Weather forecast not found for specific date
Sanctuary City,Now through 3/31/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/sanctuary-city/,47.6145597,-122.3285576,Weather forecast not found for specific date
Stew,3/15/2024 through 3/31/2024,ACT Theatre,Theatre,Downtown,https://visitseattle.org/events/stew/,47.6108495,-122.3323262,Weather forecast not found for specific date
Sakura-Con 2024,3/29/2024 through 3/31/2024,Seattle Convention Center,Festivals & Special Events,Downtown,https://visitseattle.org/events/sakura-con-2024/,47.61175385,-122.33156275066185,Weather forecast not found for specific date
Noize MC,4/1/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/noize-mc/,47.6085136,-122.3394726,Weather forecast not found for specific date
Joey Harkum,4/2/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/joey-harkum/,41.7111625,-93.6318959,Weather forecast not found for specific date
The 350’s,4/2/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,https://visitseattle.org/events/the-350s/,47.6615049,-122.332319,Weather forecast not found for specific date
Sleater-Kinney,4/2/2024 through 4/3/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/sleater-kinney/,47.6085136,-122.3394726,Weather forecast not found for specific date
Hippie Sabotage,4/3/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/hippie-sabotage/,47.5880461,-122.333928,Weather forecast not found for specific date
Aan,4/4/2024,Sunset Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/aan/,36.0254577,-114.9637699,Weather forecast not found for specific date
